direction,duty,advance_deg,sample_hz,duration_ms,result,sample_count,missed_count,mct_fault_count,mct_fault_delta,faults,rpm_start,rpm_end,rpm_peak,accel_rpm_s,accel_20_100_rpm_s,accel_window_rpm_s,rpm_100ms,rpm_200ms,time_to_1000_ms,time_to_3000_ms,final_rpm_mean,final_rpm_std,ripple,angle_delta_turns,monotonic_fraction,valid,note
1,100,90,500,300,0,150,0,51,0,0,302.0,3159.0,3858.0,10466.0,4170.557491289198,-62.77943368107311,3210.0,1886.0,6.0,40.0,2730.72,431.5651997091517,0.15804080964329983,13.20941162109375,1.0,True,
-1,100,90,500,300,0,150,0,51,0,0,223.0,3253.0,3819.0,10600.0,-409.23344947735217,437.32556564151184,2099.0,3684.0,4.0,18.0,2717.42,435.87218722923814,0.160399271084057,12.819366455078125,1.0,True,
1,150,90,500,300,0,150,0,51,0,0,317.0,4347.0,5582.0,14296.0,3942.68292682927,-187.90475545319052,4866.0,5265.0,4.0,12.0,4850.22,345.67286789680213,0.07126952342302043,23.2647705078125,1.0,True,
-1,150,90,500,300,0,150,0,51,0,0,606.0,4191.0,5363.0,13513.0,9296.254355400697,171.04728356591252,4951.0,4609.0,4.0,14.0,4629.52,345.72614827345643,0.07467861641670333,22.02490234375,1.0,True,
1,100,30,500,300,0,150,0,51,0,0,6.0,57.0,105.0,263.0,46.60278745644601,-7.620918574718865,59.0,66.0,inf,inf,32.0,25.43540839066674,0.7948565122083356,-0.0005340576171875,0.5100671140939598,False,angle_not_monotonic
1,100,50,500,300,0,150,0,51,0,0,267.0,2632.0,2711.0,8700.0,6702.351916376306,-477.20498577428526,2704.0,1587.0,8.0,inf,1775.74,360.31057769652006,0.20290728242677422,8.744873046875,1.0,True,
1,100,70,500,300,0,150,0,51,0,0,223.0,1901.0,3270.0,6220.0,-2028.2229965156796,-1080.1923858555754,1987.0,2611.0,4.0,26.0,2224.38,332.66955917246173,0.1495560826713339,11.122772216796875,1.0,True,
1,100,90,500,300,0,150,0,51,0,0,270.0,2074.0,3678.0,6846.0,5935.540069686414,270.176805310933,2409.0,3061.0,4.0,18.0,2615.66,379.40467103081374,0.14505121882462313,12.410446166992188,1.0,True,
1,100,110,500,300,0,150,0,51,0,0,201.0,2485.0,3769.0,7966.0,901.9163763066199,1137.891207153502,2650.0,2156.0,4.0,26.0,2683.04,417.8145023811404,0.1557242912446853,12.510833740234375,1.0,True,
1,100,130,500,300,0,150,0,51,0,0,314.0,2329.0,3576.0,7353.0,6564.547038327526,191.35618479880748,3246.0,2656.0,6.0,74.0,2608.72,434.75676141953215,0.1666552030955918,12.499984741210938,1.0,True,
1,100,150,500,300,0,150,0,51,0,0,327.0,2786.0,3794.0,9060.0,9764.285714285714,-60.15783769136973,2162.0,2748.0,8.0,58.0,2707.54,415.6992764006211,0.15353393722738023,12.986038208007812,1.0,True,
1,150,30,500,300,0,150,0,51,0,0,159.0,29.0,159.0,116.0,-88.06620209059233,9.85638802330307,24.0,30.0,inf,inf,27.42,18.40227159890865,0.6711258788806947,0.0060577392578125,0.5771812080536913,False,angle_not_monotonic
1,150,50,500,300,0,150,0,51,0,0,453.0,2848.0,3570.0,9236.0,-196.5156794425076,-3209.9817097954233,2626.0,1871.0,6.0,26.0,2245.96,324.8096033063062,0.14461949603123217,12.254470825195312,1.0,True,
1,150,70,500,300,0,150,0,51,0,0,288.0,3952.0,4753.0,12760.0,295.73170731707364,426.7307952851918,3434.0,3639.0,4.0,16.0,3842.64,340.30543692394923,0.08856032231068985,18.466354370117188,1.0,True,
1,150,90,500,300,0,150,0,51,0,0,297.0,5395.0,5519.0,17786.0,15054.268292682927,149.80354965451843,5222.0,5041.0,4.0,12.0,4688.4,319.8449624427435,0.06822049365300391,22.440200805664062,1.0,True,
1,150,110,500,300,0,150,0,51,0,0,335.0,4551.0,5633.0,14840.0,9000.26132404181,-559.680260127354,4972.0,5241.0,2.0,12.0,4908.68,319.01682965009854,0.06499034967651152,23.588607788085938,1.0,True,
1,150,130,500,300,0,150,0,51,0,0,405.0,4410.0,5404.0,14393.0,6034.059233449479,-459.00961929277855,4942.0,4419.0,4.0,12.0,4656.22,364.8709519816561,0.07836205161733253,22.721038818359375,1.0,True,
1,150,150,500,300,0,150,0,51,0,0,329.0,5121.0,5493.0,16756.0,9283.01393728223,-99.50209998645167,4504.0,5029.0,4.0,14.0,4792.72,337.9692909126508,0.07051722005722237,22.757675170898438,1.0,True,
1,200,30,500,300,0,150,0,51,0,0,230.0,1333.0,2169.0,3983.0,1862.8919860627177,431.32366887955544,686.0,1071.0,14.0,inf,1155.26,274.8990221881482,0.23795424596034503,5.4686126708984375,1.0,True,
1,200,50,500,300,0,150,0,51,0,0,36.0,9.0,148.0,66.0,-185.27874564459927,17.412952174502095,1.0,42.0,inf,inf,35.98,24.606901470928843,0.6839049880747317,0.00408935546875,0.5100671140939598,False,angle_not_monotonic
1,200,70,500,300,0,150,0,51,0,0,588.0,4109.0,5256.0,13220.0,1559.1463414634131,-662.9115296030345,4149.0,4000.0,2.0,10.0,4431.9,394.1407997150257,0.08893269246035013,21.6629638671875,1.0,True,
1,200,90,500,300,0,150,0,52,1,0,438.0,6060.0,6481.0,19766.0,9502.613240418119,690.1300636770087,5856.0,5937.0,4.0,12.0,5671.44,349.10263018201397,0.061554495892051045,27.009002685546875,1.0,False,mct_fault_delta=1
1,200,110,500,300,0,150,0,53,1,0,486.0,5840.0,7501.0,19230.0,13167.595818815329,624.4072618886335,5841.0,5783.0,2.0,8.0,6378.86,471.4285952294366,0.07390483491241956,30.917221069335938,1.0,False,mct_fault_delta=1
1,200,130,500,300,0,150,0,54,1,0,644.0,6743.0,7761.0,22116.0,13489.547038327524,28.227882400758663,7241.0,6340.0,2.0,10.0,6566.08,619.7887007682538,0.09439249914229704,31.984832763671875,1.0,False,mct_fault_delta=1
1,200,150,500,300,0,150,0,55,1,0,13.0,14.0,40.0,46.0,-181.96864111498252,4.870613737975884,12.0,9.0,inf,inf,12.64,8.87639566490814,0.7022464924769097,9.1552734375e-05,0.5302013422818792,False,mct_fault_delta=1;no_motion;angle_not_monotonic
1,250,30,500,300,0,150,0,55,0,0,514.0,8405.0,9827.0,27593.0,80484.4076655052,19784.60235740412,7438.0,7633.0,4.0,44.0,8743.46,575.2952706219651,0.06579720964263176,34.19300842285156,1.0,True,
1,250,50,500,300,0,150,0,56,1,0,129.0,8640.0,9062.0,28646.0,71463.24041811845,12119.895678092395,7275.0,8281.0,6.0,34.0,8081.7,488.3095432202815,0.0604216369353331,-33.14019775390625,0.959731543624161,False,mct_fault_delta=1
1,250,70,500,300,0,150,0,57,1,0,406.0,7523.0,8591.0,25620.0,83492.16027874566,6260.249288714271,7517.0,6535.0,2.0,34.0,7322.74,327.87917347705996,0.04477547659442503,-31.12255859375,0.9328859060402684,False,mct_fault_delta=1
1,250,90,500,300,0,150,0,58,1,0,459.0,6533.0,7478.0,22433.0,70234.84320557491,10131.398184527838,6168.0,6917.0,2.0,8.0,6466.14,438.709881812571,0.0678472600055939,-25.01580810546875,0.8791946308724832,False,mct_fault_delta=1
1,250,110,500,300,0,150,0,59,1,0,560.0,5026.0,7818.0,17330.0,-30246.68989547039,4832.133179785936,5662.0,4553.0,2.0,4.0,4515.46,570.2407635376481,0.1262863060546762,-13.271774291992188,0.7986577181208053,False,mct_fault_delta=1;angle_not_monotonic
1,250,130,500,300,0,150,0,60,1,0,433.0,4870.0,8659.0,16403.0,-54762.282229965145,-21107.224630808836,1042.0,1614.0,2.0,6.0,2764.34,1199.8437166564652,0.4340434666706936,-0.901275634765625,0.6711409395973155,False,mct_fault_delta=1;angle_not_monotonic
1,250,150,500,300,0,150,0,61,1,0,136.0,1235.0,9356.0,4366.0,27846.254355400688,-37231.2254437068,8871.0,3607.0,4.0,8.0,2346.04,857.352155418064,0.3654465206978841,15.924896240234375,0.5771812080536913,False,mct_fault_delta=1;angle_not_monotonic
-1,100,30,500,300,0,150,0,62,1,0,104.0,1815.0,3255.0,6016.0,10852.351916376305,-1458.9351036444923,2460.0,3011.0,4.0,68.0,2065.86,383.64160410466434,0.18570551930172632,10.336349487304688,1.0,False,mct_fault_delta=1
-1,100,50,500,300,0,150,0,62,0,0,141.0,1355.0,3195.0,4293.0,6178.571428571428,-785.4389649099035,1936.0,2873.0,8.0,80.0,2041.16,376.4899127466764,0.18444899603493914,10.093887329101562,1.0,True,
-1,100,70,500,300,0,150,0,62,0,0,189.0,1763.0,3059.0,5556.0,1015.1567944250866,-370.440997154857,2018.0,2015.0,8.0,42.0,2018.54,333.5194872867251,0.16522807934780837,9.9564208984375,1.0,True,
-1,100,90,500,300,0,150,0,62,0,0,154.0,2224.0,3045.0,7113.0,3087.7177700348425,-79.08142528112727,2675.0,2078.0,4.0,290.0,1902.62,393.4964746983129,0.2068182163008446,9.220809936523438,1.0,True,
-1,100,110,500,300,0,150,0,62,0,0,158.0,1653.0,2516.0,5260.0,4468.554006968642,-379.51158379623365,2217.0,1673.0,4.0,inf,1630.8,348.654843649131,0.21379374763866263,8.026824951171875,1.0,True,
-1,100,130,500,300,0,150,0,62,0,0,195.0,40.0,331.0,213.0,161.58536585365852,2.279501422571468,34.0,98.0,inf,inf,40.48,29.219336063641144,0.721821543074139,0.0131683349609375,0.5637583892617449,False,angle_not_monotonic
-1,100,150,500,300,0,150,0,62,0,0,10.0,63.0,123.0,350.0,440.2439024390242,2.0796640021677466,69.0,56.0,inf,inf,40.1,24.014370697563574,0.5988621121586926,-0.0012359619140625,0.5436241610738255,False,angle_not_monotonic
-1,150,30,500,300,0,150,0,62,0,0,335.0,3914.0,5245.0,12993.0,14250.0,-206.22883078173692,3940.0,4152.0,8.0,24.0,4307.54,353.3483952135626,0.08203020638544566,20.55865478515625,1.0,True,
-1,150,50,500,300,0,150,0,62,0,0,143.0,4324.0,5151.0,14066.0,16109.93031358885,-880.3177076276928,4783.0,4289.0,4.0,20.0,4115.38,424.24072836067967,0.10308664773621869,19.936477661132812,1.0,True,
-1,150,70,500,300,0,150,0,62,0,0,304.0,3537.0,4840.0,11493.0,1705.7491289198613,2510.205256740278,4283.0,4619.0,2.0,16.0,4113.7,403.1476776567118,0.09800123432839336,18.780853271484375,1.0,True,
-1,150,90,500,300,0,150,0,62,0,0,377.0,3337.0,4393.0,10610.0,8757.055749128922,1742.4095650995796,3683.0,3280.0,4.0,18.0,3661.24,378.5778947587933,0.10340155104794915,16.6480712890625,1.0,True,
-1,150,110,500,300,0,150,0,62,0,0,211.0,2549.0,3698.0,8073.0,5242.247386759583,-444.18100528383735,3698.0,3321.0,4.0,24.0,2677.84,414.1306730972725,0.15465101466005157,12.477935791015625,1.0,True,
-1,150,130,500,300,0,150,0,62,0,0,97.0,27.0,97.0,176.0,-26.82926829268294,-30.81899471616312,36.0,51.0,inf,inf,26.14,17.680509042445582,0.6763775456176581,0.0011138916015625,0.5100671140939598,False,angle_not_monotonic
-1,150,150,500,300,0,150,0,62,0,0,43.0,21.0,98.0,146.0,-91.2020905923345,30.419319875355654,1.0,54.0,inf,inf,28.98,23.89517943016959,0.8245403530079224,0.000396728515625,0.5369127516778524,False,angle_not_monotonic
-1,200,30,500,300,0,150,0,62,0,0,329.0,5910.0,7054.0,19500.0,12614.721254355401,848.038883620105,6135.0,5540.0,4.0,10.0,6009.12,368.6067628245581,0.061341221813603006,28.482833862304688,1.0,True,
-1,200,50,500,300,0,150,0,62,0,0,338.0,5932.0,6492.0,19556.0,13185.888501742162,868.7068147947434,5690.0,6179.0,4.0,12.0,5694.2,360.52794621221807,0.06331494261041377,26.962051391601562,1.0,True,
-1,200,70,500,300,0,150,0,62,0,0,270.0,4838.0,6315.0,15706.0,11275.87108013937,1334.2297791627147,5581.0,6135.0,4.0,10.0,5592.6,309.40148674497345,0.05532337137377489,26.189193725585938,1.0,True,
-1,200,90,500,300,0,150,0,63,1,0,343.0,5208.0,5325.0,16533.0,6373.780487804879,1763.4636228153363,4520.0,4744.0,4.0,10.0,4737.02,413.91175339678387,0.08737808862888141,22.42333984375,1.0,False,mct_fault_delta=1
-1,200,110,500,300,0,150,0,63,0,0,309.0,3409.0,4462.0,11023.0,5999.564459930314,-977.5775640157157,4125.0,2519.0,4.0,12.0,3500.68,420.0682535017375,0.11999618745550508,16.78619384765625,1.0,True,
-1,200,130,500,300,0,150,0,63,0,0,12.0,38.0,56.0,16.0,-43.37979094076654,28.50223546944859,31.0,12.0,inf,inf,23.7,14.693195704134618,0.6199660634655957,0.0008392333984375,0.5503355704697986,False,angle_not_monotonic
-1,200,150,500,300,0,150,0,63,0,0,38.0,6.0,75.0,166.0,11.236933797909398,-17.291017477306593,37.0,67.0,inf,inf,19.9,16.983815825661793,0.8534580816915475,-0.000213623046875,0.5906040268456376,False,no_motion;angle_not_monotonic
-1,250,30,500,300,0,150,0,63,0,0,371.0,7652.0,8531.0,25120.0,14747.82229965156,974.2412952174502,7264.0,7378.0,2.0,10.0,7788.08,420.20846445544146,0.05395533487784428,35.774078369140625,1.0,True,
-1,250,50,500,300,0,150,0,64,1,0,401.0,4541.0,7077.0,14576.0,-29265.418118466896,-2564.5440997154847,4344.0,4205.0,2.0,8.0,4531.04,427.7498315604578,0.09440433797990258,23.070083618164062,1.0,False,mct_fault_delta=1
-1,250,70,500,300,0,150,0,65,1,0,741.0,2796.0,6516.0,9110.0,-35489.89547038327,-2715.4619970193726,4176.0,2836.0,2.0,10.0,3308.54,361.0846000593213,0.10913714208059183,18.209732055664062,1.0,False,mct_fault_delta=1
-1,250,90,500,300,0,150,0,66,1,0,486.0,1387.0,4810.0,4096.0,-35548.606271777004,-5182.1670505351585,1424.0,1022.0,2.0,10.0,1307.98,408.1564156055862,0.31205096072232463,8.781463623046875,1.0,False,mct_fault_delta=1
-1,250,110,500,300,0,150,0,67,1,0,260.0,4.0,2926.0,146.0,-7269.337979094076,11.641376507248328,0.0,26.0,4.0,inf,15.5,10.619322012256715,0.6851175491778526,0.7051544189453125,0.5234899328859061,False,mct_fault_delta=1;no_motion;angle_not_monotonic
-1,250,130,500,300,0,150,0,68,1,0,618.0,33.0,1741.0,406.0,-367.16027874564463,16.83037528790136,17.0,39.0,4.0,inf,21.22,13.749603630650594,0.6479549307563899,0.318634033203125,0.5570469798657718,False,mct_fault_delta=1;angle_not_monotonic
-1,250,150,500,300,0,150,0,69,1,0,4.0,17.0,63.0,6.0,-136.41114982578398,22.253082238179104,17.0,0.0,inf,inf,21.04,15.72890333112897,0.7475714510992857,-7.62939453125e-05,0.5838926174496645,False,mct_fault_delta=1;angle_not_monotonic
