__time,/imu/angle,/imu/x,/imu/y,/imu/z
3479414.120229,137.700000000,-13168.000000000,-3744.000000000,-1984.000000000
3479414.140137,160.500000000,-11136.000000000,-12528.000000000,-4464.000000000
3479414.166184,160.300000000,-11088.000000000,-12304.000000000,-4400.000000000
3479414.190574,166.300000000,-10208.000000000,-15456.000000000,-5440.000000000
3479414.200589,173.200000000,-8592.000000000,-19696.000000000,-6528.000000000
3479414.219799,177.400000000,-6976.000000000,-21840.000000000,-7328.000000000
3479414.239741,182.900000000,-4288.000000000,-24656.000000000,-8080.000000000
3479414.267072,185.000000000,-3104.000000000,-25984.000000000,-8032.000000000
3479414.279067,185.800000000,-2624.000000000,-26096.000000000,-7968.000000000
3479414.298993,189.700000000,-64.000000000,-26544.000000000,-8064.000000000
3479414.319135,193.500000000,2336.000000000,-25312.000000000,-8048.000000000
3479414.339056,193.800000000,2544.000000000,-25280.000000000,-7984.000000000
3479414.358778,198.100000000,4960.000000000,-23760.000000000,-7584.000000000
3479414.378640,206.800000000,8528.000000000,-18960.000000000,-6064.000000000
3479414.399293,207.000000000,8672.000000000,-19040.000000000,-6016.000000000
3479414.419535,213.100000000,10144.000000000,-15520.000000000,-5056.000000000
3479414.439437,223.400000000,11888.000000000,-10768.000000000,-3440.000000000
3479414.460327,237.200000000,13008.000000000,-5424.000000000,-1904.000000000
3479414.478848,10.800000000,14480.000000000,3968.000000000,1024.000000000
3479414.498932,19.400000000,14688.000000000,7712.000000000,2496.000000000
3479414.519887,23.500000000,14592.000000000,9664.000000000,3280.000000000
3479414.538955,38.100000000,13552.000000000,18864.000000000,5856.000000000
3479414.558399,46.900000000,11536.000000000,26928.000000000,8240.000000000
3479414.578340,48.000000000,11008.000000000,27712.000000000,8480.000000000
3479414.611848,53.600000000,8000.000000000,32640.000000000,10160.000000000
3479414.618353,60.300000000,2400.000000000,32752.000000000,11584.000000000
3479414.638389,60.100000000,2576.000000000,32752.000000000,11632.000000000
3479414.662988,63.700000000,-384.000000000,32752.000000000,11616.000000000
3479414.678313,68.500000000,-4288.000000000,32752.000000000,10992.000000000
3479414.699772,72.100000000,-7264.000000000,32640.000000000,9840.000000000
3479414.717704,79.300000000,-10912.000000000,25920.000000000,7392.000000000
3479414.738367,84.100000000,-12032.000000000,21056.000000000,6288.000000000
3479414.771850,85.300000000,-12208.000000000,19952.000000000,5744.000000000
3479414.778697,97.900000000,-13456.000000000,11536.000000000,3088.000000000
3479414.797714,116.000000000,-13648.000000000,3664.000000000,288.000000000
3479414.828846,118.800000000,-13696.000000000,2656.000000000,-96.000000000
3479414.837966,138.100000000,-12944.000000000,-3808.000000000,-1984.000000000
3479414.858201,160.400000000,-11328.000000000,-12640.000000000,-4512.000000000
3479414.880998,160.200000000,-11088.000000000,-12256.000000000,-4448.000000000
3479414.897537,166.100000000,-10288.000000000,-15424.000000000,-5504.000000000
3479414.917784,173.000000000,-8688.000000000,-19632.000000000,-6432.000000000
3479414.938800,177.400000000,-7040.000000000,-22192.000000000,-7440.000000000
3479414.957683,182.900000000,-4304.000000000,-24752.000000000,-8048.000000000
3479414.984170,185.000000000,-3104.000000000,-26048.000000000,-8032.000000000
3479415.007746,185.900000000,-2544.000000000,-26048.000000000,-7984.000000000
3479415.017116,189.500000000,-192.000000000,-26640.000000000,-8096.000000000
3479415.047670,193.200000000,2160.000000000,-25424.000000000,-7984.000000000
3479415.061681,194.100000000,2752.000000000,-25440.000000000,-7952.000000000
3479415.078790,198.100000000,4960.000000000,-23728.000000000,-7408.000000000
3479415.096686,206.800000000,8592.000000000,-19104.000000000,-6144.000000000
3479415.116437,206.600000000,8480.000000000,-19184.000000000,-6048.000000000
3479415.136698,213.100000000,10144.000000000,-15536.000000000,-5072.000000000
3479415.164587,223.400000000,11872.000000000,-10784.000000000,-3392.000000000
3479415.177001,237.100000000,13136.000000000,-5504.000000000,-2000.000000000
3479415.198724,11.000000000,14528.000000000,4096.000000000,1136.000000000
3479415.216591,19.800000000,14656.000000000,7840.000000000,2496.000000000
3479415.236550,23.700000000,14576.000000000,9760.000000000,3200.000000000
3479415.256587,37.900000000,13632.000000000,18768.000000000,5968.000000000
3479415.276588,47.100000000,11392.000000000,26864.000000000,8240.000000000
3479415.295966,48.200000000,10864.000000000,27744.000000000,8608.000000000
3479415.316060,53.500000000,8032.000000000,32608.000000000,10112.000000000
3479415.336087,60.600000000,2160.000000000,32752.000000000,11632.000000000
3479415.356299,60.300000000,2352.000000000,32752.000000000,11632.000000000
3479415.376253,63.900000000,-544.000000000,32752.000000000,11536.000000000
3479415.395764,68.500000000,-4352.000000000,32752.000000000,11120.000000000
3479415.416127,72.000000000,-7216.000000000,32608.000000000,9824.000000000
3479415.436077,79.300000000,-10880.000000000,25776.000000000,7376.000000000
3479415.456227,83.400000000,-11792.000000000,21520.000000000,6192.000000000
3479415.477326,85.600000000,-12320.000000000,19872.000000000,5840.000000000
3479415.524496,98.000000000,-13472.000000000,11520.000000000,2992.000000000
3479415.524510,116.000000000,-13648.000000000,3632.000000000,272.000000000
3479415.536601,118.600000000,-13520.000000000,2672.000000000,-96.000000000
3479415.555981,137.700000000,-12928.000000000,-3696.000000000,-1936.000000000
3479415.579198,161.100000000,-11072.000000000,-12848.000000000,-4496.000000000
3479415.595172,160.200000000,-11184.000000000,-12352.000000000,-4480.000000000
3479415.615022,166.400000000,-10304.000000000,-15696.000000000,-5472.000000000
3479415.635207,172.600000000,-8896.000000000,-19536.000000000,-6352.000000000
3479415.656208,177.300000000,-7024.000000000,-21904.000000000,-7344.000000000
3479415.675148,182.900000000,-4288.000000000,-24576.000000000,-8000.000000000
3479415.695634,185.000000000,-3120.000000000,-26000.000000000,-8000.000000000
3479415.714869,186.100000000,-2416.000000000,-26144.000000000,-7984.000000000
3479415.734732,189.500000000,-192.000000000,-26432.000000000,-8048.000000000
3479415.755388,193.500000000,2320.000000000,-25440.000000000,-8032.000000000
3479415.774770,193.800000000,2528.000000000,-25168.000000000,-7968.000000000
3479415.794932,197.800000000,4816.000000000,-23808.000000000,-7552.000000000
3479415.814912,206.500000000,8400.000000000,-19072.000000000,-5984.000000000
3479415.834920,206.700000000,8480.000000000,-19056.000000000,-6048.000000000
3479415.866498,212.800000000,10144.000000000,-15760.000000000,-5152.000000000
3479415.874367,224.000000000,12064.000000000,-10624.000000000,-3344.000000000
3479415.907743,237.500000000,13136.000000000,-5360.000000000,-1952.000000000
3479415.920184,11.200000000,14544.000000000,4176.000000000,1136.000000000
3479415.934431,20.300000000,14592.000000000,8064.000000000,2496.000000000
3479415.954478,23.600000000,14576.000000000,9712.000000000,3168.000000000
3479415.974063,37.700000000,13632.000000000,18608.000000000,5936.000000000
3479415.993712,47.400000000,11216.000000000,26960.000000000,8224.000000000
3479416.013746,48.300000000,10800.000000000,27856.000000000,8528.000000000
3479416.033927,53.400000000,8128.000000000,32704.000000000,10176.000000000
3479416.054307,60.500000000,2208.000000000,32752.000000000,11600.000000000
3479416.091346,60.400000000,2288.000000000,32752.000000000,11568.000000000
3479416.108846,63.900000000,-512.000000000,32752.000000000,11472.000000000
3479416.124440,68.500000000,-4304.000000000,32752.000000000,11040.000000000
3479416.141113,72.000000000,-7168.000000000,32432.000000000,9824.000000000
3479416.157844,79.600000000,-11104.000000000,25856.000000000,7344.000000000
3479416.174911,83.500000000,-11824.000000000,21520.000000000,6352.000000000
3479416.193115,85.500000000,-12272.000000000,19920.000000000,5840.000000000
3479416.224286,98.500000000,-13664.000000000,11424.000000000,3008.000000000
3479416.234921,116.000000000,-13648.000000000,3664.000000000,288.000000000
3479416.253414,118.500000000,-13584.000000000,2736.000000000,-64.000000000
3479416.275036,138.000000000,-13008.000000000,-3792.000000000,-1952.000000000
3479416.293073,161.000000000,-11120.000000000,-12784.000000000,-4512.000000000
3479416.313006,160.200000000,-11232.000000000,-12432.000000000,-4464.000000000
3479416.332935,166.200000000,-10304.000000000,-15552.000000000,-5488.000000000
3479416.352929,173.300000000,-8512.000000000,-19600.000000000,-6496.000000000
3479416.375206,177.400000000,-6976.000000000,-21840.000000000,-7296.000000000
3479416.392781,182.900000000,-4256.000000000,-24624.000000000,-7984.000000000
3479416.413085,185.300000000,-2880.000000000,-25840.000000000,-8080.000000000
3479416.433172,185.800000000,-2592.000000000,-26240.000000000,-8032.000000000
3479416.453071,189.700000000,-32.000000000,-26512.000000000,-8000.000000000
3479416.473068,193.600000000,2416.000000000,-25344.000000000,-7904.000000000
3479416.494015,194.000000000,2624.000000000,-25328.000000000,-7904.000000000
3479416.512701,198.000000000,4896.000000000,-23664.000000000,-7488.000000000
3479416.532800,206.700000000,8512.000000000,-19040.000000000,-6096.000000000
3479416.553634,207.000000000,8656.000000000,-19008.000000000,-6064.000000000
3479416.572275,213.100000000,10160.000000000,-15568.000000000,-5120.000000000
3479416.592976,223.600000000,11792.000000000,-10576.000000000,-3408.000000000
3479416.611961,237.700000000,13232.000000000,-5312.000000000,-1904.000000000
3479416.631911,11.900000000,14608.000000000,4480.000000000,1072.000000000
3479416.664511,19.800000000,14752.000000000,7920.000000000,2656.000000000
3479416.672075,23.400000000,14784.000000000,9744.000000000,3120.000000000
3479416.691927,37.800000000,13760.000000000,18832.000000000,5792.000000000
3479416.722896,47.200000000,11456.000000000,27184.000000000,8400.000000000
3479416.732862,48.100000000,10928.000000000,27744.000000000,8480.000000000
3479416.751908,53.400000000,8128.000000000,32656.000000000,10176.000000000
3479416.772080,60.600000000,2128.000000000,32752.000000000,11632.000000000
3479416.791746,60.300000000,2384.000000000,32752.000000000,11600.000000000
3479416.811808,63.800000000,-496.000000000,32752.000000000,11504.000000000
3479416.831297,68.400000000,-4240.000000000,32752.000000000,11024.000000000
3479416.851964,72.000000000,-7168.000000000,32544.000000000,9808.000000000
3479416.872517,79.400000000,-10896.000000000,25568.000000000,7312.000000000
3479416.891580,83.700000000,-11952.000000000,21456.000000000,6256.000000000
3479416.911141,85.400000000,-12144.000000000,19840.000000000,5792.000000000
3479416.932918,98.200000000,-13520.000000000,11456.000000000,2992.000000000
3479416.951958,115.900000000,-13584.000000000,3664.000000000,272.000000000
3479416.971674,119.100000000,-13488.000000000,2512.000000000,-96.000000000
3479416.991005,137.300000000,-12976.000000000,-3568.000000000,-1824.000000000
3479417.011413,160.400000000,-11296.000000000,-12640.000000000,-4400.000000000
3479417.032741,160.400000000,-11232.000000000,-12528.000000000,-4480.000000000
3479417.051478,166.400000000,-10256.000000000,-15616.000000000,-5456.000000000
3479417.071457,172.900000000,-8752.000000000,-19568.000000000,-6480.000000000
3479417.091303,177.400000000,-7056.000000000,-22192.000000000,-7376.000000000
3479417.113251,182.600000000,-4464.000000000,-24816.000000000,-8112.000000000
3479417.130905,185.400000000,-2848.000000000,-26064.000000000,-7984.000000000
3479417.150984,185.900000000,-2528.000000000,-26096.000000000,-7968.000000000
3479417.171028,189.700000000,-48.000000000,-26560.000000000,-8048.000000000
3479417.191037,193.700000000,2480.000000000,-25328.000000000,-7952.000000000
3479417.210857,193.800000000,2496.000000000,-25152.000000000,-7984.000000000
3479417.231148,198.100000000,4944.000000000,-23856.000000000,-7536.000000000
3479417.251001,206.800000000,8560.000000000,-19056.000000000,-6176.000000000
3479417.270615,206.900000000,8640.000000000,-19024.000000000,-5888.000000000
3479417.290213,212.900000000,10032.000000000,-15568.000000000,-5056.000000000
3479417.309933,224.300000000,12096.000000000,-10464.000000000,-3344.000000000
3479417.329884,238.100000000,13104.000000000,-5120.000000000,-1856.000000000
3479417.361328,11.500000000,14432.000000000,4240.000000000,1104.000000000
3479417.369768,20.000000000,14704.000000000,8000.000000000,2480.000000000
3479417.391377,23.300000000,14608.000000000,9568.000000000,3152.000000000
3479417.415020,37.700000000,13776.000000000,18768.000000000,5936.000000000
3479417.430330,47.600000000,11056.000000000,27104.000000000,8304.000000000
3479417.450488,48.000000000,10992.000000000,27648.000000000,8560.000000000
3479417.470366,53.500000000,8048.000000000,32576.000000000,10176.000000000
3479417.491377,60.400000000,2288.000000000,32752.000000000,11632.000000000
3479417.509846,60.400000000,2288.000000000,32752.000000000,11648.000000000
3479417.529632,63.800000000,-432.000000000,32752.000000000,11632.000000000
3479417.549457,68.600000000,-4416.000000000,32752.000000000,11056.000000000
3479417.569220,72.200000000,-7296.000000000,32464.000000000,9824.000000000
3479417.589230,79.600000000,-10960.000000000,25504.000000000,7328.000000000
3479417.624385,83.800000000,-11968.000000000,21456.000000000,6304.000000000
3479417.629391,85.900000000,-12496.000000000,19856.000000000,5760.000000000
3479417.650393,98.100000000,-13536.000000000,11520.000000000,2992.000000000
3479417.669229,116.300000000,-13760.000000000,3552.000000000,208.000000000
3479417.689480,118.600000000,-13616.000000000,2720.000000000,-176.000000000
3479417.709316,138.200000000,-12960.000000000,-3856.000000000,-1920.000000000
3479417.730542,160.400000000,-11056.000000000,-12384.000000000,-4448.000000000
3479417.749124,159.900000000,-11312.000000000,-12352.000000000,-4432.000000000
3479417.769330,166.600000000,-10112.000000000,-15616.000000000,-5440.000000000
3479417.801531,173.200000000,-8576.000000000,-19568.000000000,-6432.000000000
3479417.808654,177.200000000,-7120.000000000,-22032.000000000,-7296.000000000
3479417.830193,183.000000000,-4224.000000000,-24672.000000000,-8016.000000000
3479417.854431,185.000000000,-3088.000000000,-26000.000000000,-8048.000000000
3479417.869577,185.800000000,-2656.000000000,-26192.000000000,-7984.000000000
3479417.888417,189.600000000,-160.000000000,-26448.000000000,-8096.000000000
3479417.908253,193.600000000,2416.000000000,-25472.000000000,-7936.000000000
3479417.928120,194.100000000,2672.000000000,-25280.000000000,-7920.000000000
3479417.948217,198.400000000,5072.000000000,-23568.000000000,-7536.000000000
3479417.968414,206.700000000,8560.000000000,-19216.000000000,-6080.000000000
3479417.988625,206.900000000,8576.000000000,-18912.000000000,-6000.000000000
3479418.019534,213.100000000,10240.000000000,-15648.000000000,-5088.000000000
3479418.028555,224.000000000,11952.000000000,-10528.000000000,-3376.000000000
3479418.048309,236.800000000,13264.000000000,-5680.000000000,-1952.000000000
3479418.079492,11.500000000,14400.000000000,4240.000000000,992.000000000
3479418.089535,20.100000000,14672.000000000,8016.000000000,2560.000000000
3479418.109552,23.400000000,14432.000000000,9472.000000000,3136.000000000
3479418.138810,37.800000000,13712.000000000,18736.000000000,5856.000000000
3479418.148053,47.300000000,11232.000000000,26944.000000000,8224.000000000
3479418.168161,48.000000000,10976.000000000,27648.000000000,8496.000000000
3479418.200423,53.300000000,8224.000000000,32512.000000000,10160.000000000
3479418.207652,60.400000000,2304.000000000,32752.000000000,11648.000000000
3479418.227505,60.200000000,2432.000000000,32752.000000000,11568.000000000
3479418.256973,63.900000000,-528.000000000,32752.000000000,11536.000000000
3479418.267522,68.400000000,-4240.000000000,32752.000000000,10960.000000000
3479418.290643,71.800000000,-7040.000000000,32640.000000000,9888.000000000
3479418.308215,79.300000000,-10848.000000000,25696.000000000,7328.000000000
3479418.327343,83.800000000,-11872.000000000,21184.000000000,6224.000000000
3479418.347384,85.300000000,-12208.000000000,19984.000000000,5792.000000000
3479418.367408,98.100000000,-13536.000000000,11504.000000000,2944.000000000
3479418.388668,117.200000000,-13632.000000000,3216.000000000,160.000000000
3479418.407763,118.600000000,-13792.000000000,2736.000000000,-128.000000000
3479418.426988,137.000000000,-13088.000000000,-3472.000000000,-1872.000000000
3479418.446954,160.600000000,-11136.000000000,-12544.000000000,-4528.000000000
3479418.467067,160.200000000,-11264.000000000,-12448.000000000,-4416.000000000
3479418.486851,166.400000000,-10128.000000000,-15424.000000000,-5536.000000000
3479418.507749,173.400000000,-8512.000000000,-19664.000000000,-6480.000000000
3479418.526882,177.900000000,-6704.000000000,-22080.000000000,-7280.000000000
3479418.547405,182.900000000,-4240.000000000,-24688.000000000,-8000.000000000
3479418.566157,185.000000000,-3152.000000000,-26000.000000000,-8016.000000000
3479418.586575,185.800000000,-2560.000000000,-26096.000000000,-7936.000000000
